MSSubClass,MSZoning,LotFrontage,LotArea,LotConfig,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrArea,ExterCond,Foundation,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,Functional,Fireplaces,FireplaceQu,GarageType,GarageArea,GarageQual,GarageCond,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SalePrice,Street_Pave,Alley_Pave,LotShape_IR2,LotShape_IR3,LotShape_Reg,LandContour_HLS,LandContour_Low,LandContour_Lvl,Utilities_NoSeWa,LandSlope_Mod,LandSlope_Sev,MasVnrType_BrkFace,MasVnrType_Stone,ExterQual_Fa,ExterQual_Gd,ExterQual_TA,BsmtQual_Fa,BsmtQual_Gd,BsmtQual_TA,BsmtCond_Gd,BsmtCond_Po,BsmtCond_TA,BsmtExposure_Gd,BsmtExposure_Mn,BsmtExposure_No,CentralAir_Y,KitchenQual_Fa,KitchenQual_Gd,KitchenQual_TA,GarageFinish_RFn,GarageFinish_Unf,PavedDrive_P,PavedDrive_Y,PoolQC_Fa,PoolQC_Gd,Fence_GdWo,Fence_MnPrv,Fence_MnWw,MiscFeature_Othr,MiscFeature_Shed,MiscFeature_TenC
20,191083.31517272186,70.0,11200,176089.5498929543,144307.13574097137,183441.46344586575,179950.05742616134,184738.37905625423,175524.30905220288,5,5,1965,1965,214771.63300831488,178244.3257876119,164255.2470908823,167992.761130137,0.0,182734.72932716325,150904.94155428815,151608.0420246111,906,183453.7229458783,0,134,1040,180670.64605122097,211490.56365834005,185652.48040866305,1040,0,0,1040,1,0,1,0,3,1,181937.7426632337,0,180921.19589041095,135332.02115168422,384,185802.54052726802,186460.00744518626,0,0,0,0,0,0,0,2,2008,171976.80481447003,129500,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
60,190160.40928833946,85.0,11924,176192.88896983134,295211.79941291583,185224.48665901885,181773.3072608619,185825.3162237993,211194.49169099482,9,5,2005,2006,217592.1644399346,180238.89337859975,158803.23996221068,168507.07997038134,286.0,184302.54226817703,224333.79845953133,234934.10814502594,998,185324.4925261686,0,177,1175,182555.99476961396,213698.3425555805,187240.3652034425,1182,1142,0,2324,1,0,3,0,4,1,183856.24722527748,2,222071.2323531978,243920.52448630138,736,188180.9152155406,188289.4514542016,147,21,0,0,0,0,0,7,2006,258406.84221207505,345000,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20,191083.31517272186,0.0,12968,176089.5498929543,144307.13574097137,183441.46344586575,179950.05742616134,184738.37905625423,175524.30905220288,5,6,1962,1962,214771.63300831488,178244.3257876119,164255.2470908823,170222.5124692659,0.0,182734.72932716325,150904.94155428815,162398.1922936049,737,183453.7229458783,0,175,912,180670.64605122097,141342.79520147401,185652.48040866305,912,0,0,912,1,0,1,0,2,1,181937.7426632337,0,180921.19589041095,135332.02115168422,352,185802.54052726802,186460.00744518626,140,0,0,0,176,0,0,9,2008,171976.80481447003,144000,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
20,191788.16806822573,91.0,10652,176830.30997541273,194300.35400711896,184580.31393592924,181316.743091842,185992.9014662353,176000.72501529913,7,5,2006,2007,171576.23386148512,179944.5975465493,213860.54492631304,214053.8553226605,306.0,184300.10210010127,225924.77091393914,170418.019223492,0,184734.92789625283,0,1494,1494,182264.44788099316,215635.49074942255,187158.02315297228,1494,0,0,1494,0,0,2,0,3,1,183712.11440409094,1,224012.6486041269,203330.3589886453,840,188012.89654544982,188271.9244019628,160,33,0,0,0,0,0,8,2007,271052.9541718555,279500,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
20,191788.16806822573,0.0,10920,183011.7262212458,146591.47647100576,184580.31393592924,181316.743091842,185992.9014662353,176000.72501529913,6,5,1960,1960,220373.38846683016,179944.5975465493,149310.45999377334,149723.0465432989,212.0,184300.10210010127,150889.41111757548,152568.6308106894,733,184734.92789625283,0,520,1253,182264.44788099316,144007.55319568908,187158.02315297228,1253,0,0,1253,1,0,1,1,2,1,183712.11440409094,1,169696.16552511416,203330.3589886453,352,188012.89654544982,188271.9244019628,0,213,176,0,0,0,0,5,2008,172962.0638103184,157000,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0
45,132291.26351046213,51.0,6120,176883.77038486628,133236.5810709838,184599.263273081,181484.8140179127,186080.85319727138,141641.4526774595,7,8,1929,2001,172035.03598133638,180793.75578852816,152436.4583364868,152161.7083365949,0.0,184803.1361467939,140576.84888019136,174481.53227860315,0,184648.6339145281,0,832,832,182644.13387730793,215948.4872831435,132072.0374544824,854,0,0,854,0,0,1,0,2,1,184055.0118454334,0,180921.19589041095,137979.68226070475,576,187650.53864047557,188220.00182904213,48,112,0,0,0,0,0,7,2007,174847.76121223494,132000,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
20,190160.40928833946,0.0,11241,222245.58486468426,148487.68338363903,185224.48665901885,181773.3072608619,185825.3162237993,176209.93732471083,6,7,1970,1970,171773.6313619456,180238.89337859975,150271.8021491264,149031.89480805007,180.0,184302.54226817703,148793.16362702977,161103.83775924085,578,185324.4925261686,0,426,1004,182555.99476961396,213698.3425555805,187240.3652034425,1004,0,0,1004,1,0,1,0,2,1,183856.24722527748,1,205888.6941845438,203116.58081421113,480,188180.9152155406,188289.4514542016,0,0,0,0,0,0,700,3,2010,174533.7870692423,149000,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
90,190160.40928833946,72.0,10791,176192.88896983134,143255.1789603091,185224.48665901885,181773.3072608619,144553.6591780822,176209.93732471083,4,5,1967,1967,171773.6313619456,180238.89337859975,152590.35461776404,153069.59760273973,0.0,184302.54226817703,134060.2485322896,180921.19589041095,0,180921.19589041095,0,0,0,182555.99476961396,143438.42197989832,187240.3652034425,1296,0,0,1296,0,0,2,0,2,2,183856.24722527748,0,180921.19589041095,154521.82111200644,516,188180.9152155406,188289.4514542016,0,0,0,0,0,0,500,10,2006,174533.7870692423,90000,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0
20,190160.40928833946,66.0,13695,176192.88896983134,186766.73264840184,158630.59794520546,181773.3072608619,185825.3162237993,176209.93732471083,5,5,2004,2004,171773.6313619456,180238.89337859975,213616.7330833042,214423.47035201915,0.0,184302.54226817703,224333.79845953133,234934.10814502594,646,185324.4925261686,0,468,1114,182555.99476961396,213698.3425555805,187240.3652034425,1114,0,0,1114,1,0,1,1,3,1,183856.24722527748,0,180921.19589041095,134510.68357477352,576,188180.9152155406,188289.4514542016,0,102,0,0,0,0,0,6,2008,174533.7870692423,159000,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
20,190160.40928833946,70.0,7560,176192.88896983134,148487.68338363903,185224.48665901885,181773.3072608619,185825.3162237993,176209.93732471083,5,6,1958,1965,217592.1644399346,180238.89337859975,182817.59099804307,168790.86014654348,0.0,184302.54226817703,148793.16362702977,159750.91116035456,504,185324.4925261686,0,525,1029,182555.99476961396,143438.42197989832,187240.3652034425,1339,0,0,1339,0,0,1,0,3,1,157461.77025440315,0,180921.19589041095,203116.58081421113,294,188180.9152155406,188289.4514542016,0,0,0,0,0,0,0,5,2009,156293.1418786693,139000,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0
60,191788.16806822573,101.0,14215,183011.7262212458,301028.4127853881,184580.31393592924,181316.743091842,185992.9014662353,210342.2118448481,8,5,2005,2006,171576.23386148512,179944.5975465493,213860.54492631304,214053.8553226605,380.0,184300.10210010127,225924.77091393914,170418.019223492,0,184734.92789625283,0,1158,1158,182264.44788099316,215635.49074942255,187158.02315297228,1158,1218,0,2376,0,0,3,1,4,1,183712.11440409094,1,224012.6486041269,242607.8531573672,853,188012.89654544982,188271.9244019628,240,154,0,0,0,0,0,11,2006,271052.9541718555,325300,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
45,128366.33139328554,57.0,7449,176830.30997541273,117723.61806914548,184580.31393592924,181316.743091842,185992.9014662353,140586.90722291407,7,7,1930,1950,171576.23386148512,179944.5975465493,153973.41317823526,148706.64856490542,0.0,184300.10210010127,225924.77091393914,170418.019223492,0,184734.92789625283,0,637,637,182264.44788099316,215635.49074942255,130416.03424657533,1108,0,0,1108,0,0,1,0,3,1,183712.11440409094,1,224012.6486041269,203330.3589886453,280,188012.89654544982,188271.9244019628,0,0,205,0,0,0,0,6,2007,172962.0638103184,139400,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
20,190160.40928833946,75.0,9742,176192.88896983134,198714.87376966007,185224.48665901885,181773.3072608619,185825.3162237993,176209.93732471083,8,5,2002,2002,217592.1644399346,180238.89337859975,213616.7330833042,214423.47035201915,281.0,184302.54226817703,224333.79845953133,170492.02766362252,0,185324.4925261686,0,1777,1777,182555.99476961396,213698.3425555805,187240.3652034425,1795,0,0,1795,0,0,2,0,3,1,183856.24722527748,1,222071.2323531978,203116.58081421113,534,188180.9152155406,188289.4514542016,171,159,0,0,0,0,0,9,2008,174533.7870692423,230000,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
120,132291.26351046213,44.0,4224,178489.28961406744,141405.59794520546,184599.263273081,181484.8140179127,183871.86692759293,177217.15836269865,5,7,1976,1976,172035.03598133638,180793.75578852816,228037.07198007472,226195.16590563167,0.0,184803.1361467939,222913.10558283792,232556.4850855151,840,184648.6339145281,0,200,1040,182644.13387730793,144902.59092130003,186893.81772331556,1060,0,0,1060,1,0,1,0,3,1,184055.0118454334,1,205032.46167520652,202277.2460297356,572,187650.53864047557,188220.00182904213,100,110,0,0,0,0,0,6,2007,174847.76121223494,129900,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
20,190160.40928833946,0.0,8246,176192.88896983134,143255.1789603091,185224.48665901885,181773.3072608619,185825.3162237993,176209.93732471083,5,8,1968,2001,171773.6313619456,180238.89337859975,177193.9500881595,168790.86014654348,0.0,170980.13787726918,148793.16362702977,149382.62150339587,188,204168.47835616439,668,204,1060,182555.99476961396,213698.3425555805,187240.3652034425,1060,0,0,1060,1,0,1,0,3,1,183856.24722527748,1,205888.6941845438,203116.58081421113,270,188180.9152155406,188289.4514542016,406,90,0,0,0,0,0,5,2010,174533.7870692423,154000,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
20,191233.32829829317,110.0,14230,181397.07156459242,296458.38831811264,184468.41940953254,181311.71828673297,185924.04816297858,175412.84046329584,8,5,2007,2007,171476.40430315665,179840.24285865988,214779.58038757098,216070.71346458318,640.0,183898.69899894626,227015.4190232049,171739.15930117134,0,185133.43936837843,0,1566,1566,181920.61728043645,215068.50326484017,186903.34350873178,1600,0,0,1600,0,0,2,0,3,1,183469.79688023945,1,229321.8827813421,202535.0966698494,890,187494.1124375275,187858.72426065805,0,56,0,0,0,0,0,7,2009,173064.5194911173,256300,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
20,191788.16806822573,60.0,7200,183011.7262212458,146591.47647100576,184580.31393592924,181316.743091842,185992.9014662353,176000.72501529913,5,7,1951,2000,171576.23386148512,179944.5975465493,153973.41317823526,148706.64856490542,0.0,184300.10210010127,150889.41111757548,152568.6308106894,234,171661.07469630393,486,180,900,182264.44788099316,144007.55319568908,187158.02315297228,900,0,0,900,0,1,1,0,3,1,183712.11440409094,0,180921.19589041095,134212.3418029165,576,188012.89654544982,188271.9244019628,222,32,0,0,0,0,0,5,2010,172962.0638103184,134800,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
20,191233.32829829317,98.0,11478,177369.49877805647,296458.38831811264,184468.41940953254,181311.71828673297,185924.04816297858,175412.84046329584,8,5,2007,2008,171476.40430315665,179840.24285865988,214779.58038757098,216070.71346458318,200.0,183898.69899894626,227015.4190232049,233482.38990880968,1218,185133.43936837843,0,486,1704,181920.61728043645,215068.50326484017,186903.34350873178,1704,0,0,1704,1,0,2,0,3,1,183469.79688023945,1,229321.8827813421,202535.0966698494,772,187494.1124375275,187858.72426065805,0,50,0,0,0,0,0,5,2010,173064.5194911173,306000,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
20,190160.40928833946,47.0,16321,222245.58486468426,148487.68338363903,185224.48665901885,181773.3072608619,185825.3162237993,176209.93732471083,5,6,1957,1997,171773.6313619456,180238.89337859975,152590.35461776404,153069.59760273973,0.0,184302.54226817703,148793.16362702977,150017.95833805046,1277,185324.4925261686,0,207,1484,182555.99476961396,143438.42197989832,187240.3652034425,1600,0,0,1600,1,0,1,0,2,1,183856.24722527748,2,222071.2323531978,203116.58081421113,319,188180.9152155406,188289.4514542016,288,258,0,0,0,0,0,12,2006,174533.7870692423,207500,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
30,132291.26351046213,60.0,6324,178489.28961406744,133236.5810709838,147041.2494592646,175837.4508094645,186080.85319727138,177217.15836269865,4,6,1927,1950,172035.03598133638,180793.75578852816,151164.8740923722,151935.2683365949,0.0,184803.1361467939,140576.84888019136,174481.53227860315,0,184648.6339145281,0,520,520,182644.13387730793,137986.8645943098,186893.81772331556,520,0,0,520,0,0,1,0,1,1,184055.0118454334,0,180921.19589041095,137979.68226070475,240,137227.694758785,188220.00182904213,49,0,87,0,0,0,0,5,2008,174847.76121223494,68500,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
70,155072.28277886496,50.0,8500,178489.28961406744,127261.44330289194,147041.2494592646,181484.8140179127,186080.85319727138,208424.82691595703,4,4,1920,1950,168432.20836337417,180793.75578852816,201486.2391780822,209684.47835616439,0.0,129790.46937953265,140576.84888019136,174481.53227860315,0,184648.6339145281,0,649,649,182644.13387730793,144902.59092130003,186893.81772331556,649,668,0,1317,0,0,1,0,3,1,184055.0118454334,0,180921.19589041095,137979.68226070475,250,187650.53864047557,134597.37726767865,0,54,172,0,0,0,0,7,2008,174847.76121223494,40000,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
20,191083.31517272186,0.0,8544,214415.93618865963,144307.13574097137,183441.46344586575,179950.05742616134,184738.37905625423,175524.30905220288,5,6,1966,2006,171077.48219472994,178244.3257876119,164255.2470908823,167992.761130137,0.0,182734.72932716325,150904.94155428815,167643.80735317274,0,183453.7229458783,0,1228,1228,180670.64605122097,159713.80467758104,185652.48040866305,1228,0,0,1228,0,0,1,1,3,1,181937.7426632337,0,180921.19589041095,201627.13136986303,271,185802.54052726802,186460.00744518626,0,65,0,0,0,0,0,6,2008,171976.80481447003,149350,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
20,190239.06526649263,85.0,11049,176883.77038486628,199496.7436712329,184599.263273081,181484.8140179127,186080.85319727138,177217.15836269865,8,5,2007,2007,172035.03598133638,180793.75578852816,212250.8743230328,212874.74275929548,0.0,184803.1361467939,222913.10558283792,174481.53227860315,0,184648.6339145281,0,1234,1234,182644.13387730793,215948.4872831435,186893.81772331556,1234,0,0,1234,0,0,2,0,3,1,184055.0118454334,0,180921.19589041095,202277.2460297356,484,187650.53864047557,188220.00182904213,0,30,0,0,0,0,0,1,2008,174847.76121223494,179900,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
20,191233.32829829317,70.0,10552,177369.49877805647,146372.301776753,184468.41940953254,181311.71828673297,185924.04816297858,175412.84046329584,5,5,1959,1959,217006.3022536456,179840.24285865988,194983.88382507904,194398.84723951848,0.0,183898.69899894626,149870.9774088257,148660.95691371034,1018,185133.43936837843,0,380,1398,181920.61728043645,158311.73448420467,186903.34350873178,1700,0,0,1700,0,1,1,1,4,1,183469.79688023945,1,229321.8827813421,202535.0966698494,447,187494.1124375275,187858.72426065805,0,38,0,0,0,0,0,4,2010,173064.5194911173,165500,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
